SINO,JOb_Title,Position,Company,Location,State,Address
93,Low Latency Market Analyst/Data Scientist,Full-Time,ConsultNet,"Chicago, IL",IL,"Chicago,"
94,Director IT / Fraud Intelligence Data Scientist,Full-Time,First Data,"Washington, DC",DC,"Washington,"
95,"Data Analyst Scientist, San Diego, CA",Full-Time | Pay: 50k - 60k /year,Kelly Scientific Resources,"San Diego, CA",CA,"SanDiego,"
96,"Data Scientist - Boston, MA - $100k - Remote Flexibility",Full-Time | Pay: $70k - $110k/year,Nigel Frank International US,"Boston, MA


View 1 more",MA,"SanDiego,Boston,View1more"
97,DARPA - Data Scientist - Must be Eligible for Clearance,Full-Time | Pay: $45.00 - $65.00/hour,Aerotek,"Arlington, VA",VA,"Arlington,"
98,Senior Data Scientist - Expansion Planning & Analysis,Full-Time,CarMax,"Richmond, VA",VA,"Richmond,"
99,"Data Scientist (SAS) - Chicago, IL or Irvine, CA",Full-Time,UnitedHealth Group,"Irvine, CA


View 1 more",CA,"Richmond,Irvine,View1more"
100,"Senior Applied Data Scientist, Machine Learning & Natural Language Processing",Full-Time,Wolters Kluwer,"Waltham, MA


View 1 more",MA,"Richmond,Irvine,View1moreWaltham,View1more"
101,Associate Scientist/Associate Data Review Specialist,Full-Time,Eurofins,"Lancaster, PA


View 1 more",PA,"Richmond,Irvine,View1moreWaltham,View1moreLancaster,View1more"
102,"Scientist 2, Information Management / Data Visualization",Full-Time,Arcadis,"Highlands Ranch, CO",CO,"HighlandsRanch,"
103,Clinical Laboratory Scientist,Full-Time,Quality Temp Staffing,"Los Angeles, CA",CA,"LosAngeles,"
104,Principal Scientist Global Data and Bioinformatics,Full-Time,"QPS, LLC.","3 Innovation Way

Newark, DE",DE,"LosAngeles,3InnovationWayNewark,"
105,Research Scientist,Full-Time,Collabera,"Germantown, MD",MD,"Germantown,"
106,Clinical Laboratory Scientist - Night Shift,Full-Time,Confidential,"Los Angeles, CA",CA,"LosAngeles,"
